"Prebivalstvo - izbrani kazalniki, obèine in naselja, Slovenija, letno"

"OBÈINA/NASELJE"	"2024 Prebivalstvo - SKUPAJ"
"021029 Rovt"	64
"021031 Selo nad Polhovim Gradcem"	32
"021032 Setnica - del"	45
"021033 Setnik"	166
"021034 Smolnik"	166
"021035 Srednja vas pri Polh. Grad."	210
"021036 Srednji Vrh"	92
"021037 Stranska vas"	294
"021038 Šentjošt nad Horjulom"	425
"021039 Šujica"	552
"022 DOL PRI LJUBLJANI"	6432
"022001 Berièevo"	475
"022002 Brinje"	170
"022003 Dol pri Ljubljani"	274
"022004 Dolsko"	673
"022005 Kamnica"	383
"022006 Kleèe pri Dolu"	133
"022007 Klopce"	75
"022008 Križevska vas"	45
"022009 Laze pri Dolskem"	241
"022010 Osredke"	115
"022011 Petelinje"	77
"022012 Podgora pri Dolskem"	317
"022013 Senožeti"	891
"022014 Videm"	1263
"022015 Vinje"	508
"022016 Vrh pri Dolskem"	19
"022017 Zaboršt pri Dolu"	412
"022018 Zagorica pri Dolskem"	107
"022019 Zajelše"	254
"023 DOMŽALE"	37821
"023001 Bišèe"	250
"023002 Brdo"	110
"023003 Brezje pri Dobu"	127
"023004 Brezovica pri Dobu"	77
"023005 Èešenik"	150
"023006 Depala vas"	537
"023007 Dob"	1702
"023008 Dobovlje"	35
"023009 Dolenje"	42
"023010 Domžale"	13316
"023011 Dragomelj"	1034
"023012 Gorièica pri Ihanu"	264
"023013 Gorjuša"	202
"023014 Homec"	891
"023015 Hudo"	253
"023016 Ihan"	888
"023017 Jasen"	11
"023018 Kolièevo"	403
"023019 Kolovec"	59
"023020 Krtina"	917
"023021 Laze pri Domžalah"	30
"023022 Mala Loka"	209
"023023 Nožice"	672
"023024 Podreèje"	450
"023025 Prelog"	765
"023026 Preserje pri Radomljah"	2229
"023027 Pšata"	429
"023028 Raèa"	26
"023029 Raèni Vrh"	108
"023030 Radomlje"	1813
"023031 Rodica"	828
"023032 Rova"	517
